Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
preppo_store_hardware_02,POI,POIName,,x,Preppo Working Stiff Superstore,,,,,,,,,,,,,
preppo_TheCompound,POI,POIName,,x,The Compound,,,,,,,,,,,,,
store_book_01_prepper,POI,POIName,,x,Preppo Crack-A-Book,,,,,,,,,,,,,
store_clothing_02_prepper,POI,POIName,,x,Misha Bunny Clothing,,,,,,,,,,,,,
trader_jen_hugh_joel_tech,POI,POIName,,x,Trader Preppo-Tech Trio,,,,,,,,,,,,,
trader_prepper_bob,POI,POIName,,x,Trader Prepper Bob,,Händler Prepper Bob,,,,,,,,,,,

modMeleeStunBatonRepulsor,item_modifiers,Mod,,,Stun Repulsor Mod,,Stun Repulsor-Mod,,,,,,,,,,,,
modMeleeStunBatonRepulsorDesc,item_modifiers,Mod,,,"Install this mod into a stun baton or steel spear, and send zombies flying on the charged hit.",,"Installiere diesen Mod in einen Schockstab oder einem Stahlspeer und jage Zombies mit einem aufgeladenen Treffer in die Luft.",,,,,,,,,,,,
modArmorRunningShoesHP,item_modifiers,mod,,,Speedy Running Shoes Mod,,Speedy Laufschuhe Mod,,,,,,,,,,,
modArmorRunningShoesHPDesc,item_modifiers,mod,,,"Wearing this mod in your armor footwear provides environmental protection and increases running speed by 10%.",,"Wenn du diesen Mod in deinen Rüstungsschuhen trägst, schützt er die Umwelt und erhöht die Laufgeschwindigkeit um 10%.",,,,,,,,,,,
modArmorRunningShoesHPSchematic,item_modifiers,Mod,,,Speedy Running Shoes Mod Schematic,,Bauplan – Speedy Laufschuhe Mod,,,,,,,,,,,
modGunBowArrowGrip,item_modifiers,mod,,,Bow Grip Mod,,Bogengriff Mod,,,,,,,,,,,
modGunBowArrowGripDesc,item_modifiers,mod,,,"Attaching this mod to a bow gives it greater force. Increases zombie damage by 10%.",,"Wenn du diesen Mod an einen Bogen anbringst, erhält er mehr Kraft. Erhöht den Zombie-Schaden um 10%.",,,,,,,,,,,
modGunBowArrowGripSchematic,item_modifiers,Mod,,,Bow Grip Mod Schematic,,Bauplan – Bogengriff Mod,,,,,,,,,,,
modArcheryReloadSpeed,item_modifiers,mod,,,Archery Reload Mod,,Bogenschießen Reload Mod,,,,,,,,,,,
modArcheryReloadSpeedDesc,item_modifiers,mod,,,"Attaching this mod to a bow or crossbow increases reload speed by 15%.",,"Das Anbringen dieses Mods an einem Bogen oder einer Armbrust erhöht die Nachladegeschwindigkeit um 15 %.",,,,,,,,,,,
modArcheryReloadSpeedSchematic,item_modifiers,Mod,,,Archery Reload Mod Schematic,,Bauplan – Bogenschießen Reload Mod,,,,,,,,,,,
modDyeForestGreen,item_modifiers,mod,,,Dye: Forest Green,,Färben: Waldgrün,,,,,,,,,,,
modDyeMediumJungleGreen,item_modifiers,mod,,,Dye: Jungle Green,,Färben: Dschungel Grün,,,,,,,,,,,
modWeaponMaintenance,item_modifiers,mod,,,Weapon Maintenance Mod,,Waffenwartung Mod,,,,,,,,,,,
modWeaponMaintenanceDesc,item_modifiers,mod,,,"The Weapon Maintenance Mod lowers degradation in weapons by 50% by reducing wear and tear. It can be added to all ranged and melee type weapons. It cannot be added to tools.",,"Der Waffenwartungsmod senkt die Degradation von Waffen um 50 %, indem er die Abnutzung und den Verschleiß reduziert. Es kann zu allen Fern- und Nahkampfwaffen hinzugefügt werden. Es kann nicht zu Tools hinzugefügt werden.",,,,,,,,,,,
modWeaponMaintenanceSchematic,item_modifiers,Mod,,,Weapon Maintenance Mod Schematic,,Bauplan – Waffenwartung Mod,,,,,,,,,,,
modMeleeSpartanSledgeStamina,item_modifiers,mod,,,Spartan Sledge Stamina Mod,,Spartan Sledge Stamina Mod,,,,,,,,,,,
modMeleeSpartanSledgeStaminaDesc,item_modifiers,mod,,,"The Spartan Sledge Stamina Mod decreases stamina use for sledge weapons by 15%.",,"Der Spartan Sledge Stamina Mod verringert den Ausdauerverbrauch für Schlittenwaffen um 15 %.",,,,,,,,,,,
modMeleeSpartanSledgeStaminaSchematic,item_modifiers,Mod,,,Spartan Sledge Stamina Mod Schematic,,Bauplan – Spartan Sledge Stamina Mod,,,,,,,,,,,
modGunMagnumMagazineExtender,item_modifiers,mod,,,Magnum Reload Mod,,Magnum Reload Mod,,,,,,,,,,,
modGunMagnumMagazineExtenderDesc,item_modifiers,mod,,,"Did I fire eleven shots, or twelve? The Magnum Reload Mod allows the Magnum to shoot 12 shots before requiring a full reload.",,"Der Magnum Reload Mod ermöglicht es der Magnum, 12 Schuss abzufeuern, bevor sie vollständig nachgeladen werden muss.",,,,,,,,,,,
modGunMagnumMagazineExtenderSchematic,item_modifiers,Mod,,,Magnum Reload Mod Schematic,,Bauplan – Magnum Reload Mod,,,,,,,,,,,
modGunSwissVetterliMagazineExtender,item_modifiers,mod,,,Swiss Vetterli Speedloader Mod,,Swiss Vetterli Speedloader Mod,,,,,,,,,,,
modGunSwissVetterliMagazineExtenderDesc,item_modifiers,mod,,,"The Swiss Vetterli Speedloader Mod doubles the ammunition capacity of the Swiss Vetterli before requiring a full reload.",,"Der Swiss Vetterli Speedloader Mod verdoppelt die Munitionskapazität des Swiss Vetterli, bevor ein vollständiges Nachladen erforderlich ist.",,,,,,,,,,,
modGunSwissVetterliMagazineExtenderSchematic,item_modifiers,Mod,,,Swiss Vetterli Speedloader Mod Schematic,,Bauplan – Swiss Vetterli Speedloader Mod,,,,,,,,,,,
modArmorPrepperFittings,item_modifiers,mod,,,Prepper Fittings Mod,,Prepper Fittings Mod,,,,,,,,,,,
modArmorPrepperFittingsDesc,item_modifiers,mod,,,"Gold plated bulletproof glass fittings decrease movement and stamina penalties from armor.",,"Vergoldete Beschläge aus kugelsicherem Glas verringern die Bewegungs- und Ausdauereinbußen durch Rüstungen.",,,,,,,,,,,
modArmorPrepperFittingsSchematic,item_modifiers,Mod,,,Prepper Fittings Mod Schematic,,Bauplan – Prepper Fittings Mod,,,,,,,,,,,
modArmorPrepperPlatingReinforced,item_modifiers,mod,,,Prepper Banded Armor Plating Mod,,Prepper Banded Armor Plating Mod,,,,,,,,,,,
modArmorPrepperPlatingReinforcedDesc,item_modifiers,mod,,,"Improve your armor rating further with these additional diamond armor plates. Can be installed in any armor.",,"Verbessern Sie Ihre Rüstung weiter mit diesen zusätzlichen Diamantpanzerplatten. Kann in jeder Rüstung installiert werden.",,,,,,,,,,,
modArmorPrepperPlatingReinforcedSchematic,item_modifiers,Mod,,,Prepper Banded Armor Plating Mod Schematic,,Bauplan – Prepper Banded Armor Plating Mod,,,,,,,,,,,

foodAcornFlour,items,Food,,,Acorn Flour,,Eichelmehl,,,,,,,,,,,
foodAcornFlourDesc,items,Food,,,"Acorn Flour can be ground and processed on the player for adding to recipes. Cures 1% infection.",,"Eichelmehl kann vom Spieler gemahlen und verarbeitet werden, um es zu Rezepten hinzuzufügen. Heilt 1% Infektion.",,,,,,,,,,,
foodAcornBiscuits,items,Food,,,Acorn Biscuits,,Eichelkekse,,,,,,,,,,,
foodAcornBiscuitsDesc,items,Food,,,"Acorn Biscuits can be eaten as a small treat or added to recipes. Cures 1% infection.",,"Eichelkekse können als kleine Leckerei verzehrt oder zu Rezepten hinzugefügt werden. Heilt 1% Infektion.",,,,,,,,,,,
foodBaconAndEggsAndAcornBiscuits,items,Food,,,Bacon and Eggs with Biscuits,,Speck und Eier mit Keksen,,,,,,,,,,,
foodBaconAndEggsAndAcornBiscuitsDesc,items,Food,,,"Bacon and Eggs with Acorn Biscuits provides a nutritious meal. Cures 1% infection.",,"Speck und Eier mit Eichelkeksen sind eine nahrhafte Mahlzeit. Heilt 1% Infektion.",,,,,,,,,,,
foodGritsAndBits,items,Food,,,Grits and Bits,,Grits und Bits,,,,,,,,,,,
foodGritsAndBitsDesc,items,Food,,,"Grits, Mushrooms, Bacon and Eggs, and Acorn Biscuits provide a highly nutritious meal. Cures 1% infection.",,"Grütze, Pilze, Speck und Eier sowie Eichelkekse sind eine sehr nahrhafte Mahlzeit. Heilt 1% Infektion.",,,,,,,,,,,
foodPineConeJam,items,Food,,,Pine Cone Jam,,Konfitüre aus Kiefernzapfen,,,,,,,,,,,
foodPineConeJamDesc,items,Food,,,"Pine Cone Jam gives a quick boost. Cures 10% infection.",,"Kiefernzapfenmarmelade gibt einen schnellen Schub. Heilt 10% Infektion.",,,,,,,,,,,
foodPineConeJamGriddleCakes,items,Food,,,Griddle Cakes with Jam,,Griddle Cakes mit Marmelade,,,,,,,,,,,
foodPineConeJamGriddleCakesDesc,items,Food,,,"Acorn Griddle Cakes with Pine Cone Jam is a healthy dish with restorative properties. Cures 15% infection.",,"Eichel-Pfannkuchen mit Kiefernzapfenkonfitüre ist ein gesundes Gericht mit stärkenden Eigenschaften. Heilt 15% Infektion.",,,,,,,,,,,
foodPineNuts,items,Food,,,Pine Nuts,,Pinienkerne,,,,,,,,,,,
foodPineNutsDesc,items,Food,,,"Pine Cone Nuts can be eaten as a small treat but are best added to recipes.",,"Pinienzapfen können als kleine Leckerei verzehrt werden, eignen sich aber am besten für Rezepte.",,,,,,,,,,,
foodWildRice,items,Food,,,Wild Rice,,Wildreis,,,,,,,,,,,
foodWildRiceDesc,items,Food,,,"Wild Rice can be eaten as a small treat but is best added to recipes.",,"Wildreis kann als kleiner Leckerbissen verzehrt werden, eignet sich aber am besten als Zusatz zu Rezepten.",,,,,,,,,,,
foodMisoYakiOnigiri,items,Food,,,Miso Yaki Onigiri,,Miso Yaki Onigiri,,,,,,,,,,,
foodMisoYakiOnigiriDesc,items,Food,,,"Miso Yaki Onigiri provides a simple meal to keep hunger pangs at bay.",,"Miso Yaki Onigiri sind eine einfache Mahlzeit, die Heißhungerattacken in Schach hält.",,,,,,,,,,,
foodPrepperPot,items,Food,,,Prepper Pot,,Prepper Topf,,,,,,,,,,,
foodPrepperPotDesc,items,Food,,,"Prepper Pot combines all of those cans to make a nutricious meal.",,"Prepper Pot kombiniert all diese Dosen zu einer nahrhaften Mahlzeit.",,,,,,,,,,,
foodBlueberryBars,items,Food,,,Blueberry Bars,,Blaubeer-Riegel,,,,,,,,,,,
foodBlueberryBarsDesc,items,Food,,,"Blueberry Bars are full of meaty goodness with fruity overtones.",,"Blaubeer-Riegel sind voll von fleischigen Leckereien mit fruchtigen Obertönen.",,,,,,,,,,,
foodPrepperJerky,items,Food,,,Prepper Jerky,,Prepper Jerky,,,,,,,,,,,
foodPrepperJerkyDesc,items,Food,,,"Prepper Jerky is what grills are made for. Cures 1% infection.",,"Prepper Jerky ist das, wofür Grills gemacht sind. Heilt 1% Infektion.",,,,,,,,,,,
foodBlueberryFruitRoller,items,Food,,,Blueberry Fruit Roller,,Heidelbeer-Fruchtroller,,,,,,,,,,,
foodBlueberryFruitRollerDesc,items,Food,,,"Blueberry Fruit Roller provides a sugar rush for a 30 second speed boost.",,"Der Blaubeer-Frucht-Roller sorgt für einen Zuckerrausch und einen 30-sekündigen Geschwindigkeitsschub.",,,,,,,,,,,
foodBoneBrothSpruceStew,items,Food,,,Bone Broth Blue Spruce Stew,,Knochenbrühe-Blaufichten-Eintopf,,,,,,,,,,,
foodBoneBrothSpruceStewDesc,items,Food,,,"Bone Broth Blue Spruce Stew provides satisfactory nourishment for desperate times. Cures 2% infection.",,"Knochenbrühe-Blaufichten-Eintopf bietet zufriedenstellende Nahrung für schwierige Zeiten. Heilt 2% Infektion.",,,,,,,,,,,
foodBoneBrothStew,items,Food,,,Bone Broth Stew,,Eintopf mit Knochenbrühe,,,,,,,,,,,
foodBoneBrothStewDesc,items,Food,,,"Bone Broth Stew provides basic nourishment for desperate times. Cures 1% infection.",,"Knochenbrühe-Eintopf bietet Grundnahrung für verzweifelte Zeiten. Heilt 1% Infektion.",,,,,,,,,,,
foodNavezganeHDR,items,Food,,,Navezgane HDR,,Navezgane HDR,,,,,,,,,,,
foodNavezganeHDRDesc,items,Food,,,"This Navezgane Humanitarian Daily Ration (Navrat) is intended to contain a full daily food supply of approximately 2,200 calories. Preppo Security Corporation is under government contract to air drop Navrats from time to time, and they can be found in supply drop loot, quest loot, and other locations.",,"Diese Navezgane Humanitarian Daily Ration (Navrat) soll einen vollständigen täglichen Nahrungsvorrat von etwa 2.200 Kalorien enthalten. Die Preppo Security Corporation steht im Auftrag der Regierung, von Zeit zu Zeit Navrats aus der Luft abzuwerfen. Sie können in Vorratsbeute, Questbeute und an anderen Orten gefunden werden.",,,,,,,,,,,
foodSuperMeatStew,items,Food,,,Super Meat Stew,,Super Fleischeintopf,,,,,,,,,,,
foodSuperMeatStewDesc,items,Food,,,"Enough to make you big and strong..., like Grace.",,"Genug, um dich groß und stark zu machen ... wie Grace.",,,,,,,,,,,
foodGnocchiChili,items,Food,,,Gnocchi Chili,,Gnocchi-Chili,,,,,,,,,,,
foodGnocchiChiliDesc,items,Food,,,"This recipe came right out of Vehicle Adventures magazine.",,"Dieses Rezept stammt direkt aus der Zeitschrift Vehicle Adventures.",,,,,,,,,,,
foodPrepperPotPie,items,Food,,,Prepper Pot Pie,,Prepper Pot Pie,,,,,,,,,,,
foodPrepperPotDesc,items,Food,,,"Making the most of what the land provides.",,"Das Beste aus dem machen, was das Land bietet.",,,,,,,,,,,
foodPrepperPastry,items,Food,,,Prepper Pastry,,Prepper-Gebäck,,,,,,,,,,,
foodPrepperPastryDesc,items,Food,,,"Meat in pastry...",,"Fleisch im Teigmantel"...,,,,,,,,,,,
drinkJarBoneBroth,items,Food,,,Bone Broth,,Knochenbrühe,,,,,,,,,,,
drinkJarBoneBrothDesc,items,Food,,,"Bone Broth can be drunk alone, or used in recipes.",,"Knochenbrühe kann allein getrunken oder in Rezepten verwendet werden.",,,,,,,,,,,
drinkCanPreppoSoda,items,Food,,,Preppo Soda,,Preppo Soda,,,,,,,,,,,
drinkCanPreppoSodaDesc,items,Food,,,"Preppo Soda is what you get when you combine Mega Crush with Red Tea, and add a little sparkle.",,"Preppo Soda erhalten Sie, wenn Sie Mega Crush mit rotem Tee kombinieren und etwas Spritzer hinzufügen..",,,,,,,,,,,

CaughtChick,items,Item,,,Caught Chick,,Gefangenes Küken,,,,,,,,,,,
CaughtChickDesc,items,Item,,,"Use 2 Caught Chicks, with right mouse click, on an Empty Chicken Coop to populate and activate the next stage.",,"Benutze 2 gefangene Küken mit der rechten Maustaste auf einem leeren Hühnerstall, um ihn zu bevölkern und die nächste Stufe zu aktivieren.",,,,,,,,,,,
birdnestEmpty,blocks,Block,,,Empty Bird Nest,,Leeres Vogelnest,,,,,,,,,,,
IvyCoopEmpty,blocks,Block,,,Chicken Coop - Ivy,,Hühnerstall - Efeu,,,,,,,,,,,
IvyCoopEmptyDesc,blocks,Block,,,"Introduce 2 Caught Chicks to the Chicken Coop and over time they will grow and produce eggs and feathers. Search nests and chop down trees to find chicks.",,"Setzen Sie 2 gefangene Küken in den Hühnerstall ein. Mit der Zeit werden sie wachsen und Eier und Federn produzieren. Durchsuchen Sie Nester und fällen Sie Bäume, um Küken zu finden.",,,,,,,,,,,
IvyCoopChicks,blocks,Block,,,[66ff00]Growth Stage,,[66ff00]Wachstumsphase,,,,,,,,,,,
IvyCoopLaying,blocks,Block,,,[66ff00]Nesting Stage,,[66ff00]Nestbauphase,,,,,,,,,,,
IvyCoopWithEggs,blocks,Block,,,[66ff00]Ready for Gathering,,[66ff00]Bereit zum Sammeln,,,,,,,,,,,
BarrelCoopEmpty,blocks,Block,,,Chicken Coop - Barrel,,Hühnerstall - Fass,,,,,,,,,,,
BarrelCoopChicks,blocks,Block,,,[66ff00]Growth Stage,,[66ff00]Wachstumsphase,,,,,,,,,,,
BarrelCoopLaying,blocks,Block,,,[66ff00]Nesting Stage,,[66ff00]Nestbauphase,,,,,,,,,,,
BarrelCoopWithEggs,blocks,Block,,,[66ff00]Ready for Gathering,,[66ff00]Bereit zum Sammeln,,,,,,,,,,,
StatueCoopEmpty,blocks,Block,,,Chicken Coop - Statue,,Hühnerstall - Statue,,,,,,,,,,,
StatueCoopChicks,blocks,Block,,,[66ff00]Growth Stage,,[66ff00]Wachstumsphase,,,,,,,,,,,
StatueCoopLaying,blocks,Block,,,[66ff00]Nesting Stage,,[66ff00]Nestbauphase,,,,,,,,,,,
StatueCoopWithEggs,blocks,Block,,,[66ff00]Ready for Gathering,,[66ff00]Bereit zum Sammeln,,,,,,,,,,,
GrainCoopEmpty,blocks,Block,,,Chicken Coop - Grain,,Hühnerstall - Getreide,,,,,,,,,,,
GrainCoopChicks,blocks,Block,,,[66ff00]Growth Stage,,[66ff00]Wachstumsphase,,,,,,,,,,,
GrainCoopLaying,blocks,Block,,,[66ff00]Nesting Stage,,[66ff00]Nestbauphase,,,,,,,,,,,
GrainCoopWithEggs,blocks,Block,,,[66ff00]Ready for Gathering,,[66ff00]Bereit zum Sammeln,,,,,,,,,,,
ChickenCoopVariantHelper,blocks,Block,,,Chicken Coops,,Hühnerställe,,,,,,,,,,,
GrownChicken,blocks,Block,,,Grown Domestic Chicken,,Gewachsenes Haushuhn,,,,,,,,,,,
GrownChickenDesc,blocks,Block,,,"A grown domestic chicken can be placed and harvested for resources or canned.",,"Ein ausgewachsenes Haushuhn kann platziert und für Ressourcen geerntet oder in Dosen eingemacht werden.",,,,,,,,,,,
foodEggQuiche,items,Food,,,Quiche,,Quiche,,,,,,,,,,,
foodEggQuicheDesc,items,Food,,,"This quiche will keep you regular as clockwork.",,"Mit dieser Quiche bleiben Sie regelmäßig wie ein Uhrwerk.",,,,,,,,,,,
foodEggSandwich,items,Food,,,Egg Sandwich,,Ei-Sandwich,,,,,,,,,,,
foodEggSandwichDesc,items,Food,,,"The Queen of Hearts, she made some tarts, from chicken eggs, and zombie farts. She makes decent sandwiches too.",,"Die Königin der Herzen hat Torten aus Hühnereiern und Zombie-Furzen gebacken. Sie macht auch anständige Sandwiches. Im Englischen ist dies ein gereimtes Gedicht. ^^",,,,,,,,,,,
foodChickenStew,items,Food,,,Chicken Stew,,Hühnereintopf,,,,,,,,,,,
foodChickenStewDesc,items,Food,,,"Chicken stew provides great sustenance and can put coop reared chickens to good use.",,"Der Hühnereintopf ist eine hervorragende Mahlzeit, bei der man die Hühner aus dem Stall gut gebrauchen kann.",,,,,,,,,,,
foodMushroomRice,items,Food,,,Mushroom Rice,,Pilz-Reis,,,,,,,,,,,
foodMushroomRiceDesc,items,Food,,,"Mushroom Rice uses Wild Rice that can be harvested from Wild Grass.",,"Für Pilzreis wird Wildreis verwendet, der aus Wildgras geerntet werden kann.",,,,,,,,,,,
foodChickSticks,items,Food,,,Chick Sticks,,Kükenstäbchen,,,,,,,,,,,
foodChickSticksDesc,items,Food,,,"Chick Sticks allow any excess chicks to be put to good use. You can find chicks in some nests and trees. Cures 1% infection.",,"Mit Chick Sticks können überschüssige Küken sinnvoll genutzt werden. In einigen Nestern und Bäumen findet man Küken. Heilt 1% Infektion.",,,,,,,,,,,
foodWildWheat,items,Food,,,Wild Wheat,,Wildweizen,,,,,,,,,,,
foodWildWheatDesc,items,Food,,,"Wild Wheat can be ground down to make Wheat Flour and added to recipes.",,"Wildweizen kann zu Weizenmehl gemahlen und zu Rezepten hinzugefügt werden.",,,,,,,,,,,
foodWheatFlour,items,Food,,,Wheat Flour,,Weizenmehl,,,,,,,,,,,
foodWheatFlourDesc,items,Food,,,"Wheat Flour can be added to recipes. Collection amount increases with Living off the Land Skill.",,"Weizenmehl kann zu Rezepten hinzugefügt werden. Der Sammelbetrag erhöht sich mit Vom Land leben.",,,,,,,,,,,

QueenBee,items,Item,,,Queen Bee,,Bienenkönigin,,,,,,,,,,,
QueenBeeDesc,items,Item,,,"Use the Queen Bee with right mouse click on the Bee Hive to populate it and produce honey.",,"Benutze die Bienenkönigin mit einem Rechtsklick auf den Bienenstock, um ihn zu bevölkern und Honig zu produzieren.",,,,,,,,,,,
SquareHiveEmpty,blocks,Block,,,Bee Hive - Square,,Bienenstock - Quadratisch,,,,,,,,,,,
SquareHiveEmptyDesc,blocks,Block,,,"Introduce a Queen Bee to the Bee Hive and over time it will produce honey. A Queen Bee can be found in some trees.",,"Setzen Sie eine Bienenkönigin in den Bienenstock ein, und mit der Zeit wird er Honig produzieren. Eine Bienenkönigin kann in einigen Bäumen gefunden werden.",,,,,,,,,,,
SquareBeeHiveQueen,blocks,Block,,,[66ff00]Bees are collecting Nectar,,[66ff00]Bienen sammeln Nektar,,,,,,,,,,,
SquareHiveWithHoney,blocks,Block,,,[66ff00]Honey is Ready to Collect,,[66ff00]Honig ist bereit zum Sammeln,,,,,,,,,,,
RoofBeeHiveEmpty,blocks,Block,,,Bee Hive - Roof,,Bienenstock - Dach,,,,,,,,,,,
RoofBeeHiveEmptyDesc,blocks,Block,,,"Introduce a Queen Bee to the Bee Hive and over time it will produce honey. A Queen Bee can be found in some trees.",,"Setzen Sie eine Bienenkönigin in den Bienenstock ein, und mit der Zeit wird er Honig produzieren. Eine Bienenkönigin kann in einigen Bäumen gefunden werden.",,,,,,,,,,,
RoofBeeHiveQueen,blocks,Block,,,[66ff00]Bees are collecting Nectar,,[66ff00]Bienen sammeln Nektar,,,,,,,,,,,
RoofBeeHiveWithHoney,blocks,Block,,,[66ff00]Honey is Ready to Collect,,[66ff00]Honig ist bereit zum Sammeln,,,,,,,,,,,
WoodBeeHiveEmpty,blocks,Block,,,Bee Hive - Wood,,Bienenstock - Holz ,,,,,,,,,,,
WoodBeeHiveEmptyDesc,blocks,Block,,,"Introduce a Queen Bee to the Bee Hive and over time it will produce honey. A Queen Bee can be found in some trees.",,"Setzen Sie eine Bienenkönigin in den Bienenstock ein, und mit der Zeit wird er Honig produzieren. Eine Bienenkönigin kann in einigen Bäumen gefunden werden.",,,,,,,,,,,
WoodBeeHiveQueen,blocks,Block,,,[66ff00]Bees are collecting Nectar,,[66ff00]Bienen sammeln Nektar,,,,,,,,,,,
WoodBeeHiveWithHoney,blocks,Block,,,[66ff00]Honey is Ready to Collect,,[66ff00]Honig ist bereit zum Sammeln,,,,,,,,,,,
BeeHiveVariantHelper,blocks,Block,,,Bee Hives,,Bienenstöcke,,,,,,,,,,,

foodHoneyComb,items,Item,,,Honey Comb,,Honigwabe,,,,,,,,,,,
foodHoneyCombDesc,items,Item,,,"Use the Honey Comb as a standalone snack or as part of a recipe. Provides healing properties. Cures 1% infection.",,"Verwenden Sie die Honigwabe als eigenständigen Snack oder als Teil eines Rezepts. Bietet heilende Eigenschaften. Heilt 1% Infektion.",,,,,,,,,,,
foodHoneyBread,items,Food,,,Honey Bread,,Honigbrot,,,,,,,,,,,
foodHoneyBreadDesc,items,Food,,,"A tasty treat with healing properties. Cures 5% infection.",,"Ein Leckerbissen mit heilenden Eigenschaften. Heilt 5% Infektion",,,,,,,,,,,
foodHoneyPumpkinPie,items,Food,,,Honey Pumpkin Pie,,Honig-Kürbiskuchen,,,,,,,,,,,
foodHoneyPumpkinPieDesc,items,Food,,,"A tasty treat with healing properties. Cures 5% infection.",,"Ein Leckerbissen mit heilenden Eigenschaften. Heilt 5% Infektion",,,,,,,,,,,
foodBlueberryBreadPudding,items,Food,,,Blueberry Bread Pudding,,Blaubeerbrotpudding,,,,,,,,,,,
foodBlueberryBreadPuddingDesc,items,Food,,,"A tasty treat with healing properties. Cures 5% infection.",,"Ein Leckerbissen mit heilenden Eigenschaften. Heilt 5% Infektion",,,,,,,,,,,
foodHoneyGlazedDonuts,items,Food,,,Honey Glazed Donuts,,Mit Honig glasierte Donuts,,,,,,,,,,,
foodHoneyGlazedDonutsDesc,items,Food,,,"Gets you buzzing. Cures 5% infection.",,"Bringt Sie in Schwung. Heilt 5% Infektion",,,,,,,,,,,
drinkHoneyBeer,items,Food,,,Honey Beer,,Honigbier,,,,,,,,,,,
drinkHoneyBeerDesc,items,Food,,,"Unleash your inner berserker to put power in your punch for longer, and cure 5% infection.",,"Entfessle deinen inneren Berserker, um deinem Schlag länger Kraft zu verleihen und 5 % der Infektion zu heilen.",,,,,,,,,,,

foodFriedCatfish,items,Food,,,Fried Catfish,,Gebratener Wels,,,,,,,,,,,
foodFriedCatfishDesc,items,Food,,,"Catch a Catfish in the Fish Trap. Make 2 meals from 1 fish.",,"Fange einen Wels in der Fischfalle. Mache 2 Mahlzeiten aus 1 Fisch.",,,,,,,,,,,
foodCatfishNuggetsOnRice,items,Food,,,Catfish Nuggets on Rice,,Wels-Nuggets auf Reis,,,,,,,,,,,
foodCatfishNuggetsOnRiceDesc,items,Food,,,"Catch a Catfish in the Fish Trap or from a bear's mouth. Make 2 meals from 1 fish.",,"Fangen Sie einen Wels in der Fischfalle oder aus dem Maul eines Bären. Mache 2 Mahlzeiten aus 1 Fisch.",,,,,,,,,,,
foodCrawfishWildRice,items,Food,,,Crawfish Risotto,,Langustenrisotto,,,,,,,,,,,
foodCrawfishWildRiceDesc,items,Food,,,"Crawfish Risotto is a nutritious combination of what can be hunted and gathered.",,"Langustenrisotto ist eine nahrhafte Kombination aus gejagtem und gesammeltem Fisch.",,,,,,,,,,,
foodCrawfishBoil,items,Food,,,Crawfish Boil,,Crawfish Boil,,,,,,,,,,,
foodCrawfishBoilDesc,items,Food,,,"Crawfish Boil provides a hearty dish full of character. Best eaten with party members.",,"Crawfish Boil ist ein herzhaftes Gericht voller Charakter. Am besten mit Partymitgliedern essen.",,,,,,,,,,,
foodFishPie,items,Food,,,Fish Pie,,Fischpastete,,,,,,,,,,,
foodFishPieDesc,items,Food,,,"Fish Pie includes seasonal fish, cooked in a stock, and topped with mashed potato.",,"Fischpastete besteht aus Fisch der Saison, der in einer Brühe gekocht und mit Kartoffelpüree belegt wird.",,,,,,,,,,,
foodFishPieMashPeas,items,Food,,,Fish Pie Mountain,,Fischkuchenberg,,,,,,,,,,,
foodFishPieMashPeasDesc,items,Food,,,"Fish Pie Mountain is a veritable feast of taste, tradition, and soul.",,"Fischkuchenberg ist ein wahres Fest des Geschmacks, der Tradition und der Seele.",,,,,,,,,,,
resourceCatfish,items,Food,,,Catfish,,Wels,,,,,,,,,,,
resourceCatfishDesc,items,item,,,"Catch a Catfish in the Fish Trap or from a bear's mouth and used in a recipe. Make 2 meals with 1 fish.",,"Fangen Sie einen Wels in der Fischfalle oder aus dem Maul eines Bären und für ein Rezept verwendet werden. Mach 2 Mahlzeiten mit 1 Fisch.",,,,,,,,,,,
resourceCrawfish,items,Food,,,Crawfish,,Langusten,,,,,,,,,,,
resourceCrawfishDesc,items,item,,,"Catch Crawfish in the Fish Trap and use in a recipe.",,"Fangen Sie Langusten in der Fischfalle und verwenden Sie sie in einem Rezept.",,,,,,,,,,,
resourceFishBait,items,item,,,Fish Trap Bait,,Köder für die Fischfalle,,,,,,,,,,,
resourceFishBaitDesc,items,item,,,"Fish Trap Bait can only be added to an empty Fish Trap when the player is fully under water. It will attract aquatic life. Water currents may also bring in unexpected items.",,"Fischfallen-Köder können nur in eine leere Fischfalle gelegt werden, wenn der Spieler vollständig unter Wasser ist. Es wird Wasserlebewesen anlocken. Wasserströmungen können auch unerwartete Gegenstände anlocken.",,,,,,,,,,,
FishTrapEmpty,blocks,Block,,,Fish Trap,,Fischfalle (benötigt Köder),,,,,,,,,,,
